name,Vesmír a astronomie pro odvážné
category,Věda
difficulty,hard
time_limit,35
question,answer_a,answer_b,answer_c,answer_d,correct
"Jak se nazývá galaxie, ve které se nachází Sluneční soustava?","Andromeda","Velké Magellanovo mračno","Mléčná dráha","Triangulum","C"
"Která planeta má nejvíce známých měsíců?","Mars","Saturn","Venuše","Merkur","B"
"Jak se jmenuje hranice, za níž ze černé díry neunikne ani světlo?","Schwarzschildova mez","Event horizon","Akreční disk","Fotonová sféra","B"
"Která hvězda je nejblíže Zemi po Slunci?","Sirius","Proxima Centauri","Polárka","Betelgeuse","B"
"Co je hlavním zdrojem energie hvězd hlavní posloupnosti?","Štěpení uranu","Chemické hoření","Jaderná fúze","Gravitační tření","C"
"Jak se nazývá přístroj používaný k měření jasnosti hvězd?","Barometr","Fotometr","Spektrometr","Seismograf","B"
"Která planeta vyniká největší rudou skvrnou?","Jupiter","Saturn","Neptun","Uran","A"
"Jak dlouho přibližně trvá Zemi oběh kolem Slunce?","24 hodin","30 dní","365 dní","10 let","C"
"Co označuje pojem exoplaneta?","Planetu v naší soustavě","Měsíc obíhající planetu","Planetku mezi Marsem a Jupiterem","Planetu mimo Sluneční soustavu","D"
"Kdo je spojen s formulací zákonů pohybu a gravitace?","Albert Einstein","Galileo Galilei","Isaac Newton","Johannes Kepler","C"
